image_id,file_name,length_cm,width_cm,height_cm,bbox_x,bbox_y,bbox_w,bbox_h,belt_y,side_sign
1,parcel_00001.jpg,85,23,44,111.66,178.17,145.7,66.66,167,-1
2,parcel_00002.jpg,65,24,16,205.4,221.05,115.72,24.23,132,-1
3,parcel_00003.jpg,57,62,55,46.05,162.86,86.99,57.42,156,-1
4,parcel_00004.jpg,37,30,19,265.73,166.96,84.22,34.63,135,1
5,parcel_00005.jpg,65,30,39,50.33,164.05,155.76,81.93,160,1
6,parcel_00006.jpg,67,70,34,147.25,188.78,135.49,42.65,169,-1
7,parcel_00007.jpg,33,20,42,170.71,172.27,54.89,41.48,140,1
8,parcel_00008.jpg,25,53,19,31.56,163.49,56.35,18.19,150,-1
9,parcel_00009.jpg,78,65,32,121.73,150.1,143.82,44.82,136,1
10,parcel_00010.jpg,35,35,48,260.65,179.05,63.2,61.14,149,-1
11,parcel_00011.jpg,85,43,36,39.67,175.65,190.74,60.59,171,1
12,parcel_00012.jpg,47,41,32,188.9,139.25,106.2,52.29,135,-1
13,parcel_00013.jpg,37,38,59,275.79,178.33,59.59,49.59,154,-1
14,parcel_00014.jpg,60,33,45,215.84,153.34,129.95,85.89,146,-1
15,parcel_00015.jpg,69,32,53,218.7,175.87,100.08,52.41,164,1
16,parcel_00016.jpg,88,63,51,152.77,168.41,206.72,87.59,173,-1
17,parcel_00017.jpg,68,14,15,144.59,189.22,127.98,23.77,164,-1
18,parcel_00018.jpg,34,17,54,111.24,162.62,71.57,86.66,164,1
19,parcel_00019.jpg,41,62,9,200.37,201.1,117.07,30.92,174,1
20,parcel_00020.jpg,49,35,41,89.05,146.28,124.25,81.29,141,1
21,parcel_00021.jpg,44,33,9,268.23,177.4,86.27,16.42,130,-1
22,parcel_00022.jpg,75,65,30,142.13,187.59,152.89,40.07,169,-1
23,parcel_00023.jpg,49,66,50,211.55,173.0,123.07,69.51,159,-1
24,parcel_00024.jpg,73,36,42,40.62,173.61,154.09,72.51,170,1
25,parcel_00025.jpg,71,20,32,189.96,164.6,148.43,54.53,154,-1
26,parcel_00026.jpg,67,46,47,25.28,177.85,107.48,60.46,173,-1
27,parcel_00027.jpg,49,40,32,188.04,196.58,103.85,41.4,135,1
28,parcel_00028.jpg,38,56,8,75.28,189.17,96.23,16.57,139,1
29,parcel_00029.jpg,82,15,13,84.06,182.31,123.35,13.38,144,1
30,parcel_00030.jpg,51,56,45,22.56,171.34,111.73,51.64,143,1
31,parcel_00031.jpg,53,69,49,199.04,190.76,105.39,54.73,133,1
32,parcel_00032.jpg,28,66,50,185.82,187.42,88.48,57.04,152,1
33,parcel_00033.jpg,34,13,20,148.01,206.6,67.7,28.54,153,-1
34,parcel_00034.jpg,69,59,43,61.79,165.76,190.84,85.38,174,1
35,parcel_00035.jpg,19,56,33,303.38,170.22,42.68,34.53,151,1
36,parcel_00036.jpg,66,65,43,164.4,169.9,160.54,76.19,166,1
37,parcel_00037.jpg,76,44,41,153.44,191.18,127.41,49.76,157,-1
38,parcel_00038.jpg,46,24,55,247.6,188.21,87.55,54.81,154,1
39,parcel_00039.jpg,75,37,48,114.39,175.77,106.36,51.75,144,-1
40,parcel_00040.jpg,36,28,57,221.9,167.65,76.09,57.87,148,-1
41,parcel_00041.jpg,62,22,8,107.54,178.19,78.14,9.89,160,1
42,parcel_00042.jpg,32,12,38,293.7,183.38,62.07,39.32,156,1
43,parcel_00043.jpg,89,64,44,92.02,149.83,254.37,97.37,147,-1
44,parcel_00044.jpg,54,18,21,38.93,190.17,95.9,35.53,173,1
45,parcel_00045.jpg,78,63,17,66.37,162.91,168.83,28.77,145,-1
46,parcel_00046.jpg,69,44,17,198.07,164.26,109.47,22.32,136,1
47,parcel_00047.jpg,48,19,50,121.96,150.82,113.43,64.23,143,-1
